Main document: ./docs/36242 	 Potential Duplicates:[u'./docs/84465']
Main document: ./docs/36407 	 Potential Duplicates:[u'./docs/98029']
Main document: ./docs/36575 	 Potential Duplicates:[u'./docs/62627']
Main document: ./docs/36924 	 Potential Duplicates:[u'./docs/49716']
Main document: ./docs/36996 	 Potential Duplicates:[u'./docs/36997']
Main document: ./docs/37227 	 Potential Duplicates:[u'./docs/37815']
Main document: ./docs/37306 	 Potential Duplicates:[u'./docs/37307']
Main document: ./docs/37335 	 Potential Duplicates:[u'./docs/75642']
Main document: ./docs/37553 	 Potential Duplicates:[u'./docs/87615']
Main document: ./docs/37991 	 Potential Duplicates:[u'./docs/37992']
Main document: ./docs/38068 	 Potential Duplicates:[u'./docs/41534']
Main document: ./docs/38110 	 Potential Duplicates:[u'./docs/50177']
Main document: ./docs/38284 	 Potential Duplicates:[u'./docs/93047']
Main document: ./docs/38386 	 Potential Duplicates:[u'./docs/90478']
Main document: ./docs/38518 	 Potential Duplicates:[u'./docs/49699']
Main document: ./docs/39406 	 Potential Duplicates:[u'./docs/43250']
Main document: ./docs/39440 	 Potential Duplicates:[u'./docs/88202']
Main document: ./docs/39478 	 Potential Duplicates:[u'./docs/72735']
Main document: ./docs/39967 	 Potential Duplicates:[u'./docs/58972']
Main document: ./docs/40116 	 Potential Duplicates:[u'./docs/98818']
Main document: ./docs/40207 	 Potential Duplicates:[u'./docs/40210']
Main document: ./docs/41280 	 Potential Duplicates:[u'./docs/48994']
Main document: ./docs/41779 	 Potential Duplicates:[u'./docs/41780']
Main document: ./docs/42909 	 Potential Duplicates:[u'./docs/95238']
Main document: ./docs/43673 	 Potential Duplicates:[u'./docs/96848']
Main document: ./docs/43720 	 Potential Duplicates:[u'./docs/98911']
Main document: ./docs/43758 	 Potential Duplicates:[u'./docs/92453']
Main document: ./docs/43831 	 Potential Duplicates:[u'./docs/44027']
Main document: ./docs/43909 	 Potential Duplicates:[u'./docs/95380']
Main document: ./docs/43998 	 Potential Duplicates:[u'./docs/96665']
Main document: ./docs/44003 	 Potential Duplicates:[u'./docs/84307']
Main document: ./docs/44303 	 Potential Duplicates:[u'./docs/44346']
Main document: ./docs/45187 	 Potential Duplicates:[u'./docs/45202']
Main document: ./docs/45227 	 Potential Duplicates:[u'./docs/62654']
Main document: ./docs/45925 	 Potential Duplicates:[u'./docs/45927']
Main document: ./docs/46371 	 Potential Duplicates:[u'./docs/93791']
Main document: ./docs/46422 	 Potential Duplicates:[u'./docs/46797']
Main document: ./docs/46595 	 Potential Duplicates:[u'./docs/46597']
Main document: ./docs/47833 	 Potential Duplicates:[u'./docs/88226']
Main document: ./docs/47931 	 Potential Duplicates:[u'./docs/48925']
Main document: ./docs/48021 	 Potential Duplicates:[u'./docs/87463']
Main document: ./docs/48044 	 Potential Duplicates:[u'./docs/88418']
Main document: ./docs/48054 	 Potential Duplicates:[u'./docs/60425']
Main document: ./docs/48409 	 Potential Duplicates:[u'./docs/55806']
Main document: ./docs/49156 	 Potential Duplicates:[u'./docs/49157']
Main document: ./docs/49258 	 Potential Duplicates:[u'./docs/53922']
Main document: ./docs/49281 	 Potential Duplicates:[u'./docs/54495']
Main document: ./docs/49445 	 Potential Duplicates:[u'./docs/49446']
Main document: ./docs/49509 	 Potential Duplicates:[u'./docs/49527']
Main document: ./docs/49715 	 Potential Duplicates:[u'./docs/61657']
Main document: ./docs/49741 	 Potential Duplicates:[u'./docs/83369']
Main document: ./docs/50237 	 Potential Duplicates:[u'./docs/70500']
Main document: ./docs/50267 	 Potential Duplicates:[u'./docs/24913']
Main document: ./docs/50587 	 Potential Duplicates:[u'./docs/50591']
Main document: ./docs/50781 	 Potential Duplicates:[u'./docs/83930']
Main document: ./docs/50861 	 Potential Duplicates:[u'./docs/50876']
Main document: ./docs/51048 	 Potential Duplicates:[u'./docs/88558']
Main document: ./docs/51144 	 Potential Duplicates:[u'./docs/78116']
Main document: ./docs/52269 	 Potential Duplicates:[u'./docs/83701']
Main document: ./docs/52271 	 Potential Duplicates:[u'./docs/98082']
Main document: ./docs/52390 	 Potential Duplicates:[u'./docs/52403']
Main document: ./docs/52549 	 Potential Duplicates:[u'./docs/93047']
Main document: ./docs/52649 	 Potential Duplicates:[u'./docs/81865']
Main document: ./docs/52666 	 Potential Duplicates:[u'./docs/98947']
Main document: ./docs/52674 	 Potential Duplicates:[u'./docs/52682']
Main document: ./docs/52784 	 Potential Duplicates:[u'./docs/87615']
Main document: ./docs/52801 	 Potential Duplicates:[u'./docs/98947']
Main document: ./docs/53075 	 Potential Duplicates:[u'./docs/53076']
Main document: ./docs/53727 	 Potential Duplicates:[u'./docs/53729']
Main document: ./docs/54121 	 Potential Duplicates:[u'./docs/98155']
Main document: ./docs/54122 	 Potential Duplicates:[u'./docs/88857']
Main document: ./docs/54134 	 Potential Duplicates:[u'./docs/98137']
Main document: ./docs/54971 	 Potential Duplicates:[u'./docs/76769']
Main document: ./docs/55328 	 Potential Duplicates:[u'./docs/81466']
Main document: ./docs/55717 	 Potential Duplicates:[u'./docs/55718']
Main document: ./docs/57640 	 Potential Duplicates:[u'./docs/83525']
Main document: ./docs/58004 	 Potential Duplicates:[u'./docs/60367']
Main document: ./docs/58209 	 Potential Duplicates:[u'./docs/97756']
Main document: ./docs/58511 	 Potential Duplicates:[u'./docs/88623']
Main document: ./docs/59033 	 Potential Duplicates:[u'./docs/82431']
Main document: ./docs/59489 	 Potential Duplicates:[u'./docs/59488']
Main document: ./docs/59838 	 Potential Duplicates:[u'./docs/59843']
Main document: ./docs/60126 	 Potential Duplicates:[u'./docs/60127']
Main document: ./docs/60227 	 Potential Duplicates:[u'./docs/60228']
Main document: ./docs/60664 	 Potential Duplicates:[u'./docs/98806']
Main document: ./docs/60846 	 Potential Duplicates:[u'./docs/77157']
